ID,Área,Perímetro,Diámetro Equivalente,Distancia Máxima al Centro,Distancia Mínima al Centro
1,25984.0,3455.4410511585643,181.88968175902247,195.15663805926792,0.4223962839983623
2,1434.0,229.58073580374355,42.72967946463235,51.03758333169864,0.1815482301922218
3,25305.0,3247.7181797310895,179.4974280582407,203.38399094193872,10.652770519527042
4,99.0,61.071067811865476,11.227230955528665,15.834340985769698,0.2999846950488627
5,17498.0,2346.039897456788,149.26200304758032,163.84594562323375,1.6218767555510145
6,1108.0,218.10155108391484,37.55994429663814,48.73723627209692,2.063208084764403
7,1.0,0.0,1.1283791670955126,0.0,0.0
8,15675.0,1546.8590898655448,141.2728914679801,155.85693806455802,0.31100129716280944
9,1637.0,295.4802307403552,45.654059345598846,58.42111126183571,8.178781068137534
10,343.0,100.04163056034261,20.897874625046462,24.007998805895774,0.4698312013559391
11,2240.0,368.8355697996826,53.404649424996364,69.42278984168026,1.6209012402599128
12,962.0,190.50966799187808,34.997949111844065,43.90563778324571,0.3790759715984027
13,33.0,19.899494936611664,6.4820448144285745,3.3461187307307125,0.4076855771840587
14,355.0,111.15432893255071,21.260292528114064,24.28273093419873,0.10763365168756181
15,5072.0,692.6244584051392,80.36087960504629,56.35257575529624,19.400549666940567
16,2678.0,422.3330444827409,58.39294050483128,53.98073270035432,3.0702764882025564
17,68.0,34.384776310850235,9.304852983362556,6.577985724655522,0.45942645152389966
18,4.0,4.621320343559642,2.256758334191025,1.0307764064044151,0.25
19,3.0,1.0,1.9544100476116797,1.0,0.0
20,176.0,68.2842712474619,14.96964127403822,13.786381245680046,0.39397581416730226
21,1563.0,335.3980156401965,44.610238829455504,61.99141671736775,12.176053714334536
22,1608.0,272.5929291125633,45.247863904654565,60.73084936588134,0.192509028994495
23,233.0,76.66904755831213,17.22396045987371,17.29046435682591,0.0858369098712501
24,1616.0,334.19090885900994,45.36028113109555,58.70361218429803,9.247034543079042
25,4286.0,611.2274887854693,73.87221865312364,104.09422853329625,10.12700107433827
