ID,Área,Perímetro,Diámetro Equivalente,Distancia Máxima al Centro,Distancia Mínima al Centro
1,10520.0,1498.543289325507,115.7345238492556,124.3174245133645,0.4762252490059503
2,3.0,1.0,1.9544100476116797,1.0,0.0
3,20.0,14.242640687119286,5.046265044040321,2.6100766272276372,0.4609772228646475
4,26.0,16.242640687119284,5.753627391751592,3.1683531271721526,0.4385290096535121
5,30.0,17.65685424949238,6.180387232371033,3.243626228638422,0.5044248650140518
6,24.0,15.65685424949238,5.527906391541368,3.0416666666666643,0.0416666666666643
7,110.0,60.970562748477136,11.834540545406394,10.430743656285522,1.6349741575534933
8,27.0,16.82842712474619,5.863230142835039,3.1646625670420674,0.44752022124424645
9,12.0,9.65685424949238,3.9088200952233594,1.5811388300841898,0.7071067811865476
10,12.0,9.65685424949238,3.9088200952233594,1.5811388300841898,0.7071067811865476
11,12.0,9.65685424949238,3.9088200952233594,1.5811388300841898,0.7071067811865476
12,12.0,9.65685424949238,3.9088200952233594,1.5811388300841898,0.7071067811865476
13,1208.0,342.4568901432423,39.21827851958926,54.0867666597378,1.7322945076448717
